timestamp,RSSI_dBm,SNR_dB,Lock
2025-06-10 00:00:00,-90.23177622336878,11.194772003221114,1
2025-06-10 01:00:00,-90.6150710022634,12.995921305090407,1
2025-06-10 02:00:00,-90.74599092896904,11.691954916187788,1
2025-06-10 03:00:00,-93.56446821826322,11.1832383882387,1
2025-06-10 04:00:00,-87.84646228292547,12.93842920708552,1
2025-06-10 05:00:00,-89.33826292575152,11.68639186889751,1
2025-06-10 06:00:00,-88.60647599280225,13.053935698482196,1
2025-06-10 07:00:00,-89.90897651874988,12.229195944867596,1
2025-06-10 08:00:00,-87.13435305850761,10.693245674759142,1
2025-06-10 09:00:00,-88.38711717672702,12.2508590282121,1
2025-06-11 00:00:00,-90.20259856342378,11.98067632004798,1
2025-06-11 01:00:00,-91.84464092545784,11.241612174546384,1
2025-06-11 02:00:00,-90.52688806174669,11.609331982660313,1
2025-06-11 03:00:00,-90.45716389163712,13.793112122360363,1
2025-06-11 04:00:00,-90.64807607839967,13.460419531323094,1
2025-06-11 05:00:00,-93.38940586065473,11.672574699610088,1
2025-06-11 06:00:00,-88.47076097760873,13.410023226192635,1
2025-06-11 07:00:00,-88.2093340084659,9.61235790447685,1
2025-06-11 08:00:00,-89.67003393303878,10.65524646218212,1
2025-06-11 09:00:00,-89.53904889248074,13.522741329211787,1
2025-06-12 00:00:00,-92.55752598593881,10.62031160066297,1
2025-06-12 01:00:00,-95.41336602519267,12.797213660850492,1
2025-06-12 02:00:00,-91.00140290801471,10.54150887150116,1
2025-06-12 03:00:00,-91.93111369706686,9.51282702281523,1
2025-06-12 04:00:00,-88.27481943693185,8.408063559642262,1
2025-06-12 05:00:00,-93.72618870309495,9.5846604505304,1
2025-06-12 06:00:00,-92.45961830470094,11.54663600179447,1
2025-06-12 07:00:00,-91.45999210812279,13.777377151778332,1
2025-06-12 08:00:00,-89.42352069390677,9.814450998570099,1
2025-06-12 09:00:00,-91.54735943125118,11.124708247037415,1
2025-06-13 00:00:00,-91.04702900866208,13.617342138211768,1
2025-06-13 01:00:00,-90.95540411193872,11.668718315875399,1
2025-06-13 02:00:00,-89.26104217389835,12.544791900446416,1
2025-06-13 03:00:00,-85.53537375061596,10.32199744557126,1
2025-06-13 04:00:00,-90.1198056543017,11.327026690707276,1
2025-06-13 05:00:00,-89.83012998465445,13.656555396683608,1
2025-06-13 06:00:00,-90.6977586959099,12.372354070973522,1
2025-06-13 07:00:00,-90.72406202934135,14.890804960310469,1
2025-06-13 08:00:00,-88.4881313162173,10.666589162364538,1
2025-06-13 09:00:00,-91.39539311417157,13.043704790287366,1
2025-06-14 00:00:00,-92.07653594609384,9.398541704710354,1
2025-06-14 01:00:00,-89.37739646774381,8.720356953977593,1
2025-06-14 02:00:00,-86.41670035048944,11.587576350303253,1
